name,address,city,zip_code,country,phone,additional_phone,email,website,facebook,instagram,category,score,ratings,opening_hours,is_temporarily_closed,is_permanently_closed,lat,lng,url,description,price,menu,booking_link,popular_times,special_category,has_owner,about,poi
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",Paris,75001,France,+33145080203,,,http://www.restaurantchouchouparis.fr/,,,"Restaurant, Bar, Restaurant de viande, Restaurant méditerranéen",4.7,10037,"jeudi 08:00–02:00, vendredi 08:00–04:00, samedi 08:00–04:00, dimanche 08:00–02:00, lundi 08:00–02:00, mardi 08:00–02:00, mercredi 08:00–02:00",False,False,48.8599744,2.3487234,https://www.google.com/maps/place/Chouchou/data=!4m6!3m5!1s0x47e66f92a9e30c1f:0xa168c03346f62a0a!8m2!3d48.85997!4d2.34872!19sChIJHwzjqZJv5kcRCir2RjPAaKE?authuser=0&hl=en&rclk=1,Plats régionaux et nord-africains classiques servis dans un restaurant animé avec terrasse et horaires tardifs.,Modérément cher,,https://restaurantchouchouparis.fr/reservation,,,True,,
Pinocchio - Restaurant Italien Paris 14,"19 Bd Edgar Quinet, 75014 Paris, France",Paris,75014,France,+33143204430,,,https://pinocchioparis.fr/fr,,,"Restaurant italien, Bar à cocktails, Café, Restaurant familial, Livraison de pizzas, Pizzeria, Pizzas à emporter, Restaurant, Bar à vin",4.2,2263,"jeudi 08:00–02:00, vendredi 08:00–02:00, samedi 08:00–02:00, dimanche 09:00–02:00, lundi 08:00–02:00, mardi 08:00–02:00, mercredi 08:00–02:00",False,False,48.8411532,2.3238528,https://www.google.com/maps/place/Pinocchio%2B-%2BRestaurant%2BItalien%2BParis%2B14/data=!4m6!3m5!1s0x47e671cb83ece1c7:0xcef9eee1d493950e!8m2!3d48.84115!4d2.32385!19sChIJx-Hsg8tx5kcRDpWT1OHu-c4?authuser=0&hl=en&rclk=1,"Restaurant moderne avec un espace terrasse élégant, servant des plats italiens typiques, des brunchs et des cocktails.",Modérément cher,,https://pinocchioparis.fr/fr/booking,,,True,,
Restaurant Numidia,"126 Rue d'Avron, 75020 Paris, France",Paris,75020,France,+33678015882,,,https://www.restaurantnumidia.fr/,,,"Restaurant algérien, Restaurant",4.5,8105,"jeudi 12:00–02:00, vendredi 12:00–02:00, samedi 12:00–02:00, dimanche 12:00–02:00, lundi 12:00–02:00, mardi 12:00–02:00, mercredi 12:00–02:00",False,False,48.853000699999996,2.408533,https://www.google.com/maps/place/Restaurant%2BNumidia/data=!4m6!3m5!1s0x47e6727f0f51a69f:0x33ef965c8b479c69!8m2!3d48.853!4d2.40853!19sChIJn6ZRD39y5kcRaZxHi1yW7zM?authuser=0&hl=en&rclk=1,,Bon marché,,,,,True,,
